time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
404278.023747	21.374918	0.005718	3.738492	238
404279.006187	21.298359	0.005711	3.729587	239
404280.088216	22.219358	0.005725	3.881360	240
404281.073066	23.429945	0.005704	4.107366	241
404282.184116	22.072510	0.005742	3.844186	242
404283.166825	22.368954	0.005714	3.914825	243
404284.248236	22.108803	0.005732	3.856865	244
404285.231370	25.471413	0.005711	4.460406	245
404286.311491	21.078510	0.005735	3.675580	246
404287.295792	23.571589	0.005718	4.122666	247
404288.408426	22.358934	0.005718	3.910161	248
404289.392382	26.327597	0.005718	4.604141	249
404290.476256	22.480413	0.005720	3.930150	250
404291.458483	26.255146	0.005722	4.588094	251
404292.570505	22.631613	0.005729	3.950402	252
404293.520583	27.018887	0.005723	4.720958	253
404294.634589	21.932255	0.005715	3.837946	254
404295.618987	34.244335	0.005716	5.991323	255
404296.735241	21.846010	0.005719	3.819921	0
404297.681773	27.723989	0.005701	4.862872	1
404298.799850	22.907707	0.005704	4.016070	2
404299.780283	27.836369	0.005721	4.865731	3
404300.897151	21.345360	0.005706	3.740738	4
404301.844407	28.469213	0.005720	4.976930	5
404302.958519	22.224247	0.005721	3.885016	6
404303.946676	28.263695	0.005707	4.952703	7
404305.024754	23.173792	0.005722	4.050134	8
404306.005287	29.583750	0.005729	5.163834	9
404307.119280	22.958590	0.005734	4.004231	10
404308.102233	28.454842	0.005719	4.975473	11
404309.184288	23.055620	0.005719	4.031692	12
404310.167906	28.897011	0.005701	5.068970	13
404311.282102	22.644676	0.005716	3.961599	14
404312.266383	28.328131	0.005731	4.943259	15
404313.346327	22.682995	0.005718	3.966796	16
404314.330421	29.005829	0.005731	5.061353	17
404315.412487	26.007338	0.005724	4.543417	18
404316.393380	30.614605	0.005708	5.363907	19
404317.510167	24.158167	0.005710	4.231181	20
404318.491255	29.364834	0.005719	5.134844	21
404319.572032	25.922882	0.005718	4.533288	22
404320.556114	29.285479	0.005729	5.112063	23
404321.674131	23.304781	0.005718	4.075615	24
404322.652549	27.078806	0.005713	4.740103	25
404323.732715	26.374599	0.005734	4.599672	26
404324.718706	29.724579	0.005722	5.195022	27
404325.798290	28.209112	0.005711	4.939610	28
404326.813245	26.765100	0.005728	4.672925	29
404327.897298	25.243830	0.005725	4.409120	30
404328.877314	29.357864	0.005731	5.122337	31
