time (s)	coil I (A)	last det (V)	int current (uC)
402362.864097	0.369938	-200.195312	-87.597656
402362.866096	0.369084	4.059919	1.101337
402363.912583	0.368481	-523.828125	3.222656
402363.914584	0.368033	4.048363	0.867461
402364.926641	0.255049	-225.097656	-26.953125
402364.928642	0.369084	-225.097656	-26.953125
402364.930643	0.367853	4.046378	1.056483
402365.977199	0.369038	-492.578125	-5.175781
402365.979199	0.367805	4.045855	0.888345
402366.991784	0.336867	-225.878906	-24.804687
402366.993786	0.368548	-225.878906	-24.804687
402366.995786	0.367392	4.041317	1.026728
402368.075782	0.367844	-538.281250	6.738281
402368.077784	0.366774	4.034511	0.922676
402369.091801	0.367345	-212.402344	-55.957031
402369.093809	0.366232	4.028556	1.099036
402370.140323	0.367397	-513.769531	0.195312
402370.142325	0.366348	4.029823	0.884191
402371.154883	0.369321	-216.113281	-53.027344
402371.156885	0.367963	4.047592	1.217326
402372.202872	0.368948	-505.468750	-1.855469
402372.204874	0.368508	4.053583	0.902143
402373.250920	0.359744	-201.171875	-94.433594
402373.254922	0.366956	-201.171875	-94.433594
402373.256928	0.366892	4.035814	1.098190
402374.298928	0.326129	-531.835937	4.882812
402374.300930	0.367973	-531.835937	4.882812
402374.302929	0.366595	4.032544	0.902816
402375.316968	0.368051	-234.375000	-33.300781
402375.318969	0.366804	4.034839	1.067457
402376.363902	0.360648	-512.500000	-0.781250
402376.365905	0.368048	-512.500000	-0.781250
402376.367905	0.366888	4.035769	0.936048
402377.412455	0.359750	-212.500000	-82.910156
402377.414457	0.368321	-212.500000	-82.910156
402377.418456	0.366426	4.030692	1.080422
402378.429011	0.369498	-497.363281	-4.101562
402378.431015	0.368354	4.051899	0.973467
402379.479068	0.367923	-236.523437	-33.105469
402379.481069	0.366794	4.034733	1.087713
402380.493100	1.961624	-504.296875	-0.781250
402380.495103	0.367530	4.042833	0.959771
402381.573167	0.301482	-201.855469	-100.390625
402381.575167	0.368363	-201.855469	-100.390625
402381.577169	0.366998	4.036974	1.075441
402382.589609	0.351190	-523.828125	5.859375
402382.591608	0.367547	-523.828125	5.859375
402382.593609	0.366477	4.031250	0.981431
402383.640552	0.369354	-229.980469	-23.046875
402383.642556	0.368271	4.050977	1.074235
402384.657101	0.367735	-521.972656	9.277344
402384.659104	0.366734	4.034077	1.020618
402385.736087	0.369143	-199.902344	-66.406250
402385.738087	0.368607	4.054682	1.048620
402386.718123	0.336026	-512.109375	12.304687
402386.720124	0.368118	-512.109375	12.304687
402386.722125	0.366890	4.035787	1.055550
402387.800154	0.365576	-215.136719	2.636719
402387.802155	0.367857	4.046431	1.035276
402388.820178	0.367755	-548.144531	24.316406
402388.824179	0.366345	4.029796	1.076639
402389.899143	0.369597	-183.789062	-45.996094
402389.901143	0.368550	4.054052	0.961502
402390.883096	0.367021	-560.351562	29.687500
402390.885096	0.366011	4.026118	1.184008
402391.961075	0.341071	-190.625000	4.589844
402391.963075	0.368101	-190.625000	4.589844
402391.965076	0.368031	4.048345	0.985456
402392.945521	0.369348	-539.453125	29.394531
402392.947522	0.368068	4.048753	1.192523
402394.027579	0.369169	-216.308594	83.300781
402394.031580	0.367330	4.040635	1.020415
402395.043631	0.369470	-571.093750	36.132812
402395.045634	0.368420	4.052617	1.147920
402396.089581	0.320766	-209.570312	87.109375
402396.091582	0.368676	-209.570312	87.109375
402396.093582	0.367404	4.041441	0.968806
402397.105579	0.336961	-529.199219	29.589844
402397.107583	0.368562	-529.199219	29.589844
402397.109582	0.367286	4.040148	1.103406
402398.186526	0.298961	-179.589844	24.316406
402398.188529	0.368503	-179.589844	24.316406
402398.190527	0.367181	4.038986	0.959100
402399.204550	0.368488	-577.148437	38.378906
402399.206550	0.367213	4.039341	1.147191
402400.252598	0.264840	-182.324219	36.621094
402400.256597	0.366578	-182.324219	36.621094
402400.258598	0.365898	4.024878	0.993879
402401.266616	0.288669	-549.316406	34.179687
402401.268618	0.368809	-549.316406	34.179687
402401.270618	0.367468	4.042150	1.100482
402402.316683	0.368463	-202.636719	84.472656
402402.318683	0.367840	4.046236	1.013985
402403.364770	0.361940	-574.511719	38.281250
402403.366773	0.368219	-574.511719	38.281250
402403.368771	0.367106	4.038162	1.125006
402404.412807	0.334482	-180.859375	33.300781
402404.414808	0.368385	-180.859375	33.300781
402404.416809	0.367237	4.039607	0.972425
402405.428786	0.345411	-546.972656	33.789062
402405.430788	0.367929	-546.972656	33.789062
402405.432789	0.366692	4.033607	1.156780
402406.477742	0.363155	-197.656250	70.507812
402406.479744	0.368973	-197.656250	70.507812
402406.481745	0.367946	4.047406	1.008820
402407.493793	0.367214	-540.917969	32.714844
402407.495794	0.368804	4.056844	1.150818
402408.541806	0.348072	-212.792969	97.167969
402408.543808	0.367753	-212.792969	97.167969
402408.545808	0.366554	4.032092	1.025473
402409.591863	0.368323	-578.808594	38.769531
402409.593865	0.366851	4.035362	1.148437
402410.641916	0.368099	-188.476562	39.941406
402410.643918	0.367089	4.037976	1.034512
402411.657909	0.771600	-559.667969	36.035156
402411.659911	0.366469	4.031161	1.219163
402412.704511	0.368913	-211.035156	78.808594
402412.708511	0.366490	4.031391	1.037520
402413.718524	0.295854	-546.386719	32.617187
402413.720526	0.368751	-546.386719	32.617187
402413.722526	0.368708	4.055789	1.181267
402414.800493	0.348432	-189.746094	10.644531
402414.802496	0.367895	-189.746094	10.644531
402414.804495	0.366708	4.033793	1.026690
402415.818491	0.369218	-569.726562	34.863281
402415.820491	0.368147	4.049612	1.167222
402416.865024	0.355613	-223.144531	60.253906
402416.867027	0.367654	-223.144531	60.253906
402416.869028	0.366538	4.031923	1.044959
402417.881984	0.368419	-569.824219	31.542969
402417.883986	0.367034	4.037374	1.251884
402418.962012	0.347232	-198.632812	-20.507812
402418.964014	0.367529	-198.632812	-20.507812
402418.966012	0.366379	4.030169	1.055240
402419.946101	0.368466	-544.824219	23.925781
402419.948102	0.367254	4.039793	1.166303
402421.026087	0.326070	-206.640625	-32.226562
402421.028089	0.368177	-206.640625	-32.226562
402421.030088	0.366915	4.036062	1.138521
402422.044183	0.369366	-555.371094	21.386719
402422.046185	0.368296	4.051261	1.110346
402423.092750	0.368562	-233.007812	-6.542969
402423.094753	0.368464	4.053104	1.141968
402424.107343	0.368101	-528.027344	12.011719
402424.109346	0.367847	4.046316	1.121131
402425.188329	0.363510	-200.000000	-100.097656
402425.190328	0.364374	-200.000000	-100.097656
402425.192331	0.366829	4.035113	1.153552
402426.204326	0.366837	-547.460937	12.792969
402426.206328	0.367967	4.047636	1.059686
402427.254870	0.368741	-219.433594	-71.386719
402427.256872	0.367744	4.045181	1.205787
402428.267428	0.286842	-518.554687	3.320312
402428.269430	0.368814	-518.554687	3.320312
402428.271430	0.367401	4.041406	1.087800
402429.317479	0.368193	-227.539062	-65.332031
402429.319481	0.367799	4.045784	1.202147
402430.366085	0.368048	-543.554687	8.300781
402430.368086	0.367495	4.042443	1.022949
402431.414625	0.367691	-203.613281	-122.363281
402431.416628	0.367193	4.039128	1.184987
402432.429546	0.340513	-539.062500	6.445312
402432.433548	0.366339	-539.062500	6.445312
402432.435547	0.365483	4.020313	1.064878
402433.477571	0.290037	-197.167969	-136.035156
402433.479573	0.368106	-197.167969	-136.035156
402433.481575	0.366777	4.034546	1.210499
402434.527618	0.368631	-558.398437	10.937500
402434.529625	0.368176	4.049932	0.977275
402435.543665	0.369556	-221.972656	-80.175781
402435.545668	0.368370	4.052067	1.289356
402436.590628	0.301428	-543.066406	7.128906
402436.592634	0.368387	-543.066406	7.128906
402436.594639	0.366879	4.035672	1.057193
402437.606646	0.321986	-230.761719	-58.398437
402437.608649	0.367865	-230.761719	-58.398437
402437.610648	0.366501	4.031507	1.234596
402438.656677	0.369431	-527.148437	3.320312
402438.658680	0.368195	4.050144	1.125376
402439.704655	0.365540	-203.710937	-117.968750
402439.706658	0.367770	4.045465	1.227992
402440.752681	0.343804	-547.949219	8.398437
402440.754683	0.367450	-547.949219	8.398437
402440.756683	0.366256	4.028813	1.015130
402441.768736	0.356804	-216.894531	-86.425781
402441.770737	0.367668	-216.894531	-86.425781
402441.772738	0.366480	4.031285	1.257104
402442.816849	0.328839	-537.890625	6.152344
402442.822849	0.366004	-537.890625	6.152344
402442.824850	0.365294	4.018231	1.082228
402443.864932	0.278910	-202.832031	-121.777344
402443.866933	0.368889	-202.832031	-121.777344
402443.868933	0.367563	4.043196	1.226866
402444.882987	0.368324	-532.226562	4.394531
402444.884987	0.366936	-532.226562	4.394531
402444.886987	0.366078	4.026863	1.127849
402445.929046	0.240845	-198.828125	-132.421875
402445.931047	0.369445	-198.828125	-132.421875
402445.933046	0.368403	4.052431	1.250697
402446.979048	2.271299	-556.445312	10.253906
402446.981049	0.367507	-556.445312	10.253906
402446.983050	0.366402	4.030417	1.048251
402447.995048	0.367234	-231.542969	-68.066406
402447.997050	0.368617	4.054788	1.280224
402449.045557	0.368615	-528.808594	4.003906
402449.047557	0.367611	4.043719	1.100929
402450.092151	0.366348	-208.789062	-112.695312
402450.094154	0.366815	4.034963	1.231134
402451.106629	0.274275	-534.277344	5.664062
402451.108632	0.368601	-534.277344	5.664062
402451.110630	0.367284	4.040121	1.112687
402452.157118	0.369105	-224.609375	-78.320312
402452.159119	0.367836	4.046191	1.296014
402453.205162	0.366689	-555.273437	11.914062
402453.207163	0.367863	4.046493	1.054193
402454.253142	0.347493	-204.882812	-113.964844
402454.255143	0.368249	-204.882812	-113.964844
402454.257144	0.367013	4.037143	1.223859
402455.269151	0.356381	-537.500000	9.570312
402455.271154	0.367633	-537.500000	9.570312
402455.273153	0.366453	4.030984	1.138887
402456.320082	0.368317	-230.664062	-47.558594
402456.324083	0.366424	4.030665	1.265562
402457.334676	0.369078	-531.542969	11.621094
402457.336678	0.367622	4.043843	1.209160
402458.415200	0.365990	-199.707031	-93.164062
402458.417201	0.368105	4.049151	1.191322
402459.397245	0.310355	-542.089844	18.652344
402459.399248	0.368362	-542.089844	18.652344
402459.401249	0.366970	4.036674	1.214966
402460.481713	0.368461	-220.605469	-20.898437
402460.483715	0.367427	4.041698	1.226105
402461.496240	0.368810	-575.390625	28.515625
402461.498240	0.367526	4.042789	1.220990
402462.576235	0.348790	-197.363281	-47.656250
402462.578238	0.368136	-197.363281	-47.656250
402462.580238	0.366846	4.035308	1.104545
402463.562227	0.368275	-558.203125	29.785156
402463.564230	0.367322	4.040546	1.272950
402464.640245	0.322035	-208.593750	3.222656
402464.642248	0.367944	-208.593750	3.222656
402464.644249	0.366574	4.032313	1.172440
402465.660264	0.366709	-574.121094	35.058594
402465.662267	0.365762	4.023380	1.220430
402466.704247	0.280593	-208.691406	23.339844
402466.710247	0.366323	-208.691406	23.339844
402466.712249	0.365642	4.022059	1.190004
402467.720282	0.305874	-569.531250	36.914062
402467.722283	0.368187	-569.531250	36.914062
402467.724295	0.366768	4.034449	1.293465
402468.802323	0.356721	-187.500000	-9.472656
402468.804325	0.367922	-187.500000	-9.472656
402468.806326	0.366762	4.034387	1.072219
402469.819270	0.369795	-599.902344	41.796875
402469.821272	0.368570	4.054265	1.295834
402470.867398	0.370010	-180.371094	-17.773437
402470.869400	0.369317	4.062489	1.114117
402471.883886	0.368156	-572.070312	39.746094
402471.887885	0.365813	4.023947	1.288661
402472.932437	0.368209	-197.070312	32.421875
402472.934439	0.366816	-197.070312	32.421875
402472.936439	0.365910	4.025011	1.189428
402473.948478	0.367963	-553.417969	37.792969
402473.950479	0.366742	4.034165	1.299358
402475.029010	0.368273	-170.703125	-37.109375
402475.031012	0.367329	4.040617	1.052509
402476.043036	0.267624	-586.328125	41.894531
402476.045038	0.368289	-586.328125	41.894531
402476.047038	0.366876	4.035636	1.282699
402477.093064	0.367492	-182.519531	-1.074219
402477.095065	0.368591	4.054504	1.118588
402478.111102	0.368604	-573.144531	40.136719
402478.113103	0.367637	4.044011	1.320177
402479.159161	0.368730	-193.066406	22.265625
402479.161164	0.367640	4.044038	1.203980
402480.205193	0.333271	-602.539062	43.261719
402480.207195	0.368041	-602.539062	43.261719
402480.209197	0.366815	4.034963	1.223717
402481.253210	0.277324	-176.171875	-26.757812
402481.255213	0.368964	-176.171875	-26.757812
402481.257213	0.367590	4.043489	1.088109
402482.271242	0.368800	-580.468750	41.113281
